"","label","species"
"420",420,7270
"421",421,7270
"422",422,7270
"423",423,7270
"424",424,7270
"425",425,7310
"426",426,7310
"427",427,7310
"428",428,7310
"429",429,7310
"430",430,7310
"431",431,7310
"432",432,7310
"433",433,7310
"434",434,7310
"435",435,7310
"436",436,7310
"437",437,7310
"438",438,7310
"439",439,7310
"440",440,7310
"441",441,7310
"442",442,7310
"443",443,7310
"444",444,7350
"445",445,7350
"446",446,7350
"447",447,7350
"448",448,7350
"449",449,7350
"450",450,7350
"451",451,7350
"452",452,7350
"453",453,7350
"454",454,7550
"455",455,7610
"456",456,7610
"457",457,7610
"458",458,7610
"459",459,7610
"460",460,7610
"461",461,7610
"462",462,7610
"463",463,7610
"464",464,7610
"465",465,7610
"466",466,7610
"467",467,7610
"468",468,7610
"469",469,7610
"470",470,7610
"471",471,7610
"472",472,7610
"473",473,7610
"474",474,7610
"475",475,7610
"476",476,7610
"477",477,7610
"478",478,7610
"479",479,7610
"480",480,7610
"481",481,7610
"482",482,7610
"483",483,7610
"484",484,7610
"485",485,7610
"486",486,7610
"487",487,7610
"488",488,7610
"489",489,7610
"490",490,7610
"491",491,7610
"492",492,7610
"493",493,7610
"494",494,7610
"495",495,7610
"496",496,7610
"497",497,7610
"498",498,7610
"499",499,7610
"500",500,7610
"501",501,7610
"502",502,7610
"503",503,7610
"504",504,7610
"505",505,7610
"506",506,7610
"507",507,7610
"508",508,7610
"509",509,7610
"510",510,7610
"511",511,7610
"512",512,7610
"513",513,7660
"514",514,3160
"515",515,3160
"516",516,3160
"517",517,3160
"518",518,3160
"519",519,3160
"520",520,3160
"521",521,3160
"522",522,3160
"523",523,3160
"524",524,3160
"525",525,3940
"526",526,4440
"527",527,4440
"528",528,4520
"529",529,4560
"530",530,4560
"531",531,4560
"532",532,4560
"533",533,4610
"534",534,4610
"535",535,4661
"536",536,4770
"537",537,4770
"538",538,4770
"539",539,4770
"540",540,4880
"541",541,4880
"542",542,4930
"543",543,4930
"544",544,4930
"545",545,4930
"546",546,4930
"547",547,4930
"548",548,4930
"549",549,4930
"550",550,4930
"551",551,4930
"552",552,4930
"553",553,4930
"554",554,4930
"555",555,4930
"556",556,4930
"557",557,4930
"558",558,4930
"559",559,4930
"560",560,4930
"561",561,4930
"562",562,4930
"563",563,4930
"564",564,4940
"565",565,4940
"566",566,4950
"567",567,4950
"568",568,4950
"569",569,4980
"570",570,4980
"571",571,4980
"572",572,4980
"573",573,4980
"574",574,4980
"575",575,4980
"576",576,4980
"577",577,4980
"578",578,4980
"579",579,4980
"580",580,4980
"581",581,4980
"582",582,4980
"583",583,4980
"584",584,4980
"585",585,4980
"586",586,4980
"587",587,4980
"588",588,4980
"589",589,4980
"590",590,4980
"591",591,4980
"592",592,4980
"593",593,4980
"594",594,4980
"595",595,4980
"596",596,4980
"597",597,4980
"598",598,4980
"599",599,4980
"600",600,4980
"601",601,4980
"602",602,4980
"603",603,4980
"604",604,4980
"605",605,4980
"606",606,4980
"607",607,4980
"608",608,4980
"609",609,4980
"610",610,5110
"611",611,5110
"612",612,5110
"613",613,5110
"614",614,5110
"615",615,5110
"616",616,5110
"617",617,5110
"618",618,5110
"619",619,5190
"620",620,5190
"621",621,5190
"622",622,5190
"623",623,5290
"624",624,5290
"625",625,5290
"626",626,5290
"627",627,5290
"628",628,5290
"629",629,5290
"630",630,5290
"631",631,5290
"632",632,5290
"633",633,5290
"634",634,5290
"635",635,5290
"636",636,5290
"637",637,5290
"638",638,5290
"639",639,5290
"640",640,5600
"641",641,5600
"642",642,5600
"643",643,5600
"644",644,5600
"645",645,5600
"646",646,5600
"647",647,5600
"648",648,5600
"649",649,5600
"650",650,5600
"651",651,5600
"652",652,5600
"653",653,5600
"654",654,5600
"655",655,5600
"656",656,5600
"657",657,5600
"658",658,5600
"659",659,5600
"660",660,5600
"661",661,5600
"662",662,5600
"663",663,5600
"664",664,5600
"665",665,5600
"666",666,5600
"667",667,5600
"668",668,5600
"669",669,5600
"670",670,5600
"671",671,5600
"672",672,5600
"673",673,5600
"674",674,5600
"675",675,5600
"676",676,5600
"677",677,5600
"678",678,5600
"679",679,5600
"680",680,5600
"681",681,5600
"682",682,5600
"683",683,5600
"684",684,5600
"685",685,5810
"686",686,5810
"687",687,5810
"688",688,5810
"689",689,5810
"690",690,5810
"691",691,5810
"692",692,5810
"693",693,5810
"694",694,5810
"695",695,5810
"696",696,5810
"697",697,5810
"698",698,5810
"699",699,5810
"700",700,5810
"701",701,5810
"702",702,5810
"703",703,5810
"704",704,5810
"705",705,5870
"706",706,5870
"707",707,5870
"708",708,5870
